138.0,2,0.323
139.0,2,0.317
140.0,2,0.311
141.0,2,0.305
142.0,2,0.300
143.0,2,0.296
144.0,2,0.292
145.0,2,0.288
146.0,2,0.285
147.0,2,0.282
148.0,2,0.280
149.0,2,0.279
150.0,2,0.278
151.0,2,0.278
152.0,2,0.279
153.0,2,0.280
154.0,2,0.282
155.0,2,0.285
156.0,2,0.288
157.0,2,0.292
158.0,2,0.296
159.0,2,0.300
160.0,2,0.305
161.0,2,0.311
162.0,2,0.317
163.0,2,0.323
164.0,2,0.330
165.0,2,0.338
166.0,2,0.345
167.0,2,0.354
168.0,2,0.362
169.0,2,0.371
170.0,2,0.380
171.0,2,0.389
172.0,2,0.399
173.0,2,0.409
174.0,2,0.419
175.0,2,0.429
176.0,2,0.439
177.0,2,0.450
178.0,2,0.461
179.0,2,0.472
180.0,2,0.482
181.0,2,0.493
182.0,2,0.504
183.0,2,0.516
184.0,2,0.527
185.0,2,0.538
186.0,2,0.549
187.0,2,0.560
188.0,2,0.571
189.0,2,0.582
190.0,2,0.593
191.0,3,0.603
192.0,3,0.597
193.0,2,0.472
194.0,4,0.627
195.0,5,0.624
196.0,2,0.393
197.0,2,0.650
198.0,4,0.676
199.0,5,0.664
200.0,2,0.422
201.0,2,0.688
202.0,4,0.714
203.0,6,0.701
204.0,3,0.449
205.0,5,0.562
206.0,7,0.565
207.0,5,0.398
208.0,7,0.409
209.0,9,0.409
210.0,9,0.320
211.0,10,0.270
212.0,11,0.269
213.0,12,0.250
214.0,13,0.234
215.0,14,0.220
216.0,15,0.209
217.0,15,0.198
218.0,15,0.192
219.0,15,0.194
220.0,15,0.196
221.0,15,0.198
222.0,15,0.200
223.0,15,0.202
224.0,15,0.204
225.0,14,0.206
226.0,13,0.220
227.0,12,0.236
228.0,10,0.255
229.0,8,0.297
230.0,6,0.358
231.0,5,0.448
232.0,4,0.516
233.0,3,0.603
234.0,2,0.724
235.0,2,0.904
236.0,2,0.916
237.0,2,0.918
238.0,2,0.921
239.0,2,0.923
240.0,2,0.925
241.0,2,0.926
242.0,2,0.928
243.0,2,0.929
244.0,2,0.931
245.0,2,0.932
246.0,2,0.933
247.0,2,0.933
248.0,2,0.934
249.0,2,0.934
250.0,2,0.934
251.0,2,0.934
252.0,2,0.934
253.0,2,0.934
254.0,2,0.933
255.0,2,0.933
256.0,2,0.932
257.0,2,0.931
258.0,2,0.929
259.0,2,0.928
260.0,2,0.926
261.0,2,0.925
262.0,2,0.923
263.0,2,0.921
264.0,2,0.918
265.0,2,0.916
266.0,2,0.913
267.0,2,0.910
268.0,2,0.907
269.0,2,0.904
270.0,2,0.900
271.0,2,0.897
272.0,2,0.893
273.0,3,0.889
274.0,4,0.875
275.0,2,0.695
276.0,2,0.856
277.0,4,0.870
278.0,6,0.851
279.0,3,0.559
280.0,5,0.660
